UF	Total (1 000 pessoas)	Total (1 000 pessoas) CV (%)	Branca  (Total)	Branca CV (%)	Preta Total	Preta CV (%)	Parda (Total)	Parda CV (%)	Amarela ou ind√≠gena (Total	Amarela ou ind√≠gena CV (%	Ano:
Rond√¥ni	1628,074	-	32,91653408	3,512937048	7,919366928	5,713745532	58,70328759	1,996830698	0,460811407	22,65537629	2012
Acre	777,461	-	23,46945886	3,958771037	4,302202229	10,98382602	71,48453111	1,521277859	0,743807808	34,00583506	2012
Amazonas	3540,643	-	20,36868574	4,253160802	2,460023508	10,23344743	74,95430662	1,443355641	2,216984129	26,98578861	2012
Roraima	426,804	-	20,63305326	6,8280414	5,197810684	11,79542082	70,90517495	2,419312837	3,263961099	27,02655654	2012
Par√	7920,522	-	19,63349434	2,911873128	6,232510541	6,371310537	73,60892561	0,90445564	0,525069509	17,9739789	2012
Amap√	721,361	-	16,82169834	7,372246016	7,044789688	12,59145122	75,79109332	2,119752537	0,342418653	93,5557731	2012
Tocantins	1437,474	-	22,57357511	4,952243955	7,044892227	10,40010023	69,67474855	1,833782443	0,706784118	20,88333176	2012
Maranh√£	6765,94	-	19,12512681	2,583466432	9,618421765	4,718726976	70,94674474	0,864274252	0,309706683	14,13855267	2012
Piau√	3212,635	-	21,40531061	4,562918327	7,179265607	7,817203612	71,39227249	1,369716037	0,023151285	78,25560623	2012
Cear√	8734,806	-	30,48428269	2,216507513	2,898574441	5,993861342	66,29003632	1,042447478	0,327106555	15,99151753	2012
Rio Grande do Norte	3302,72	-	40,45218466	2,360687968	2,66644915	9,974607242	56,7020706	1,701041562	0,179295586	39,73903767	2012
Para√≠b	3855,184	-	33,86144391	2,641937741	4,410619095	8,437790809	60,88889196	1,742231478	0,839045035	91,1347234	2012
Pernambuco	9071,206	-	33,32025707	2,756368873	6,058570194	5,822116186	60,14436752	1,538533845	0,476805214	20,34040475	2012
Alagoas	3224,172	-	23,72697425	3,277371833	4,426355505	7,569684425	71,52907539	1,161641373	0,317594851	25,85823449	2012
Sergipe	2151,985	-	25,79482151	3,797149642	7,845406159	6,547551813	66,15081211	1,55144487	0,20896022	26,93134025	2012
Bahia	14422,526	-	19,9207046	3,506294414	17,34559695	3,596647713	62,11287191	1,248024885	0,620826542	15,69181432	2012
Minas Gerais	20225,15	-	44,29531636	1,671011737	8,688600236	3,971809523	46,67984014	1,473499314	0,336243261	15,57958919	2012
Esp√≠rito Sant	3686,124	-	42,15693378	2,223409399	8,39928075	5,203331435	49,07211504	1,714071127	0,371670435	18,49030976	2012
Rio de Janeiro	16510,152	-	45,56834705	1,637825906	14,25407784	3,417549799	39,86396364	1,672339703	0,31361147	16,76948959	2012
S√£o Paul	43114,156	-	64,66253492	1,149742396	5,645743075	4,762338962	28,33302501	2,387249125	1,358696996	9,994188422	2012
Paran√	10808,804	-	70,09375596	1,115386667	3,125378846	6,936985135	25,52436953	2,85743665	1,256495661	11,61359002	2012
Santa Catarina	6519,681	-	86,37404051	0,59170312	2,607189311	8,054238786	10,80123913	4,219546498	0,21753105	20,18145912	2012
Rio Grande do Sul	10995,534	-	83,39424044	0,76682015	5,194394856	6,354778365	11,04646831	4,525587065	0,364896391	18,56239715	2012
Mato Grosso do Sul	2493,059	-	47,16321806	2,164943462	6,359080944	6,48210423	44,29421291	2,200948688	2,183488082	17,81514068	2012
Mato Grosso	3136,219	-	35,610032	2,981255873	7,333323756	5,79351217	56,13796552	1,923358653	0,918678718	18,98326664	2012
Goi√°	6315,944	-	38,06076135	2,557624412	5,199936268	6,098690074	56,52404166	1,727199185	0,21526072	29,95071037	2012
Distrito Federal	2722,198	-	41,90551734	3,599504718	8,129562143	7,054683662	49,42675076	2,90729801	0,538169749	21,04746676	2012
Rond√¥ni	1647,705	-	32,33465948	2,959834772	5,856235073	8,034742316	61,21036517	1,643973623	0,598740267	21,45756329	2013
Acre	790,155	-	21,93596705	3,959906765	4,434842011	8,600219915	73,18257961	1,331966419	0,446611333	30,85620187	2013
Amazonas	3605,007	-	16,99209659	5,055441451	2,427377547	11,97685804	78,82103969	1,276906406	1,759486169	28,12937245	2013
Roraima	436,505	-	22,0501913	5,660926513	6,756247784	9,129578722	67,70318378	1,935528958	3,490377129	21,27538869	2013
Par√	8014,493	-	19,79060873	3,298807645	6,786783934	6,583155604	72,95286151	1,042387997	0,469745825	20,32982556	2013
Amap√	737,941	-	19,52368348	6,535441981	12,90075254	17,40220037	67,20621862	3,795184593	0,369345363	42,50109044	2013
Tocantins	1455,039	-	20,6618224	4,843094432	7,980931515	8,352583369	70,96901574	1,597985996	0,388230348	24,68160187	2013
Maranh√£	6803,063	-	19,88979436	2,507297257	11,20709707	4,294483225	68,56808539	0,897524432	0,335023188	22,40801702	2013
Piau√	3220,646	-	23,22127864	3,785099952	6,509540268	7,59398993	70,22332783	1,258213011	0,045853262	53,88749113	2013
Cear√	8789,334	-	29,35241048	2,204556487	3,557725392	7,255273929	66,88424521	0,994834787	0,205618925	19,03950947	2013
Rio Grande do Norte	3332,952	-	39,18304634	2,434773203	3,138894723	9,726090918	57,56384982	1,625728957	0,114209109	30,99900397	2013
Para√≠b	3870,182	-	35,94688463	2,580899362	3,36501253	9,486911424	60,41306059	1,561586189	0,275042245	23,2673865	2013
Pernambuco	9133,857	-	33,73257018	2,598477971	5,305703126	7,251018394	60,6863717	1,442238459	0,275354988	21,52745182	2013
Alagoas	3240,801	-	23,34141208	3,192090797	5,082272963	7,525977182	71,29767175	1,082862516	0,278643209	21,43644288	2013
Sergipe	2173,287	-	25,43933961	3,654561343	7,384241535	7,252368782	66,67569096	1,45654105	0,500727895	20,18827833	2013
Bahia	14485,978	-	19,55760843	3,3898055	16,45985138	3,371403924	63,46806857	1,160308908	0,514471614	16,35136162	2013
